Genre,Region,Share
Action,NA,0.19982699552692385
Adventure,NA,0.024084043751920692
Fighting,NA,0.05089746070408268
Misc,NA,0.09338599346680478
Platform,NA,0.10176532853777075
Puzzle,NA,0.028176965364959766
Racing,NA,0.08181745751715819
Role-Playing,NA,0.0745011894057524
Shooter,NA,0.13262158686076556
Simulation,NA,0.0417282236310452
Sports,NA,0.15555606141658795
Strategy,NA,0.015638693816228275
Action,EU,0.2156828106962241
Adventure,EU,0.02634616885704543
Fighting,EU,0.04162472834236462
Misc,EU,0.08872985419841996
Platform,EU,0.08283452403938983
Puzzle,EU,0.020861663099341447
Racing,EU,0.0979364290321388
Role-Playing,EU,0.0772596369133941
Shooter,EU,0.12869896020344024
Simulation,EU,0.04657927062235788
Sports,EU,0.1548191756397563
Strategy,EU,0.018626778356127242
Action,JP,0.12389428513888243
Adventure,JP,0.040332450310607115
Fighting,JP,0.06765967994299082
Misc,JP,0.08346888506762096
Platform,JP,0.1012920016730957
Puzzle,JP,0.04439125652584778
Racing,JP,0.04391101609580022
Role-Playing,JP,0.27289275146783165
Shooter,JP,0.029650973648742855
Simulation,JP,0.04934083128069279
Sports,JP,0.10485507583151307
Strategy,JP,0.03831079301637465
Action,Other,0.23488561579442177
Adventure,Other,0.021071764337198366
Fighting,Other,0.04597931682858038
Misc,Other,0.09441554371670323
Platform,Other,0.06466938263867125
Puzzle,Other,0.01573174553431526
Racing,Other,0.09685991852083985
Role-Playing,Other,0.07472265747414603
Shooter,Other,0.12872453776245688
Simulation,Other,0.039511125039172666
Sports,Other,0.16918834221247256
Strategy,Other,0.01424005014102162
